Player_Name,Team,Matches,Tournaments,Goals,Own_Goals,Yellow_Cards,Red_Cards,Times_Suspended,Times_Captain,Times_Starter,Times_Sub,Penalties_Scored,Missed_Penalties,Goals_Per_Match,Cards_Per_Match
Salah ASSAD,Algeria,6,2,2,0,0,0,0,0,5,1,0,0,0.333,0.0
Tibor NYILASI,Hungary,6,2,2,0,2,1,1,3,5,1,0,0,0.333,0.5
Michael OWEN,England,4,1,2,0,0,0,0,0,2,2,0,0,0.5,0.0
Laszlo FAZEKAS,Hungary,6,2,2,0,1,0,0,0,3,3,0,0,0.333,0.167
Luis MONTI,Argentina,10,2,2,0,0,0,0,0,9,1,0,0,0.2,0.0
Marc WILMOTS,Belgium,7,2,2,0,0,0,0,0,3,4,0,0,0.286,0.0
Marc DE GRIJSE,Belgium,8,2,2,0,0,0,0,0,7,1,0,0,0.25,0.0
Johann HORVATH,Austria,4,1,2,0,0,0,0,2,2,2,0,0,0.5,0.0
Mc BRIDE,USA,5,1,2,0,0,0,0,0,5,0,0,0,0.4,0.0
NEUVILLE,Germany,14,2,2,0,1,0,0,0,4,10,0,0,0.143,0.071
Salaheddine BASSIR,Morocco,3,1,2,0,0,0,0,0,3,0,0,0,0.667,0.0
JACKSON M.,Colombia,5,1,2,0,0,0,0,0,2,3,0,0,0.4,0.0
DAVID LUIZ,Brazil,7,1,2,0,0,0,0,1,7,0,0,0,0.286,0.0
VIEIRA,France,10,2,2,0,1,0,0,1,10,0,0,0,0.2,0.1
ELANO,Brazil,5,1,2,0,0,0,0,0,2,3,0,0,0.4,0.0
SLIMANI,Algeria,4,1,2,0,0,0,0,0,3,1,0,0,0.5,0.0
Anatoli ILYIN,Soviet Union,5,1,2,0,0,0,0,0,5,0,0,0,0.4,0.0
Martin PETERS,England,10,2,2,0,1,0,0,0,9,1,0,0,0.2,0.1
Atilio CREMASCHI,Chile,3,1,2,0,0,0,0,0,3,0,0,0,0.667,0.0
Darko PANCEV,Yugoslavia,5,1,2,0,1,0,0,0,2,3,0,0,0.4,0.2
Carlos VIDAL,Chile,3,1,2,0,0,0,0,0,3,0,0,0,0.667,0.0
Davor JOZIC,Yugoslavia,5,1,2,0,0,0,0,0,5,0,0,0,0.4,0.0
Trevor FRANCIS,England,5,1,2,0,0,0,0,0,5,0,0,0,0.4,0.0
UCHE,Nigeria,7,2,2,0,2,0,0,3,5,2,0,0,0.286,0.286
Lilian THURAM,France,7,1,2,0,0,0,0,0,6,1,0,0,0.286,0.0
Maryan WISNIESKI,France,6,1,2,0,0,0,0,0,6,0,0,0,0.333,0.0
INAMOTO,Japan,11,3,2,0,1,0,0,0,5,6,0,0,0.182,0.091
Jose PARODI,Paraguay,3,1,2,0,0,0,0,0,3,0,0,0,0.667,0.0
Derek KEVAN,England,8,2,2,0,0,0,0,0,4,4,0,0,0.25,0.0
Roberto CABANAS,Paraguay,4,1,2,0,0,0,0,0,4,0,0,0,0.5,0.0
Roland SANDBERG,Sweden,6,1,2,0,0,0,0,0,6,0,0,0,0.333,0.0
Mario ZAGALLO,Brazil,12,2,2,0,0,0,0,0,12,0,0,0,0.167,0.0
Hans JEPPSSON,Sweden,5,1,2,0,0,0,0,0,4,1,0,0,0.4,0.0
Iordan LETCHKOV,Bulgaria,7,1,2,0,2,0,0,0,7,0,0,0,0.286,0.286
DJABOU,Algeria,4,1,2,0,0,0,0,0,2,2,0,0,0.5,0.0
Jorge TORO,Chile,6,1,2,0,0,0,0,2,5,1,0,0,0.333,0.0
Jose SASIA,Uruguay,7,2,2,0,0,0,0,0,5,2,0,0,0.286,0.0
Jorge ROMERO,Paraguay,3,1,2,0,0,0,0,0,3,0,0,0,0.667,0.0
DROGBA,Cte d'Ivoire,9,3,2,0,3,0,0,5,5,4,0,0,0.222,0.333
SERGINHO,Brazil,5,1,2,0,0,0,0,0,5,0,0,0,0.4,0.0
DUMITRESCU,Romania,9,2,2,0,1,0,0,0,5,4,0,0,0.222,0.111
Vaclav HOVORKA,Czechoslovakia,4,1,2,0,0,0,0,0,3,1,0,0,0.5,0.0
UMIT DAVALA,Turkey,7,1,2,0,0,0,0,0,6,1,0,0,0.286,0.0
M B HONG,South Korea,13,3,2,0,1,0,0,7,13,0,0,0,0.154,0.077
Jose ALTAFINI,Brazil,9,2,2,0,0,0,0,0,5,4,0,0,0.222,0.0
Andre MASCHINOT,France,3,1,2,0,0,0,0,0,2,1,0,0,0.667,0.0
Romeo BENETTI,Italy,10,2,2,0,3,0,0,0,9,1,0,0,0.2,0.3
Hristo BONEV,Bulgaria,6,2,2,0,0,0,0,3,5,1,0,0,0.333,0.0
Roberto BONINSEGNA,Italy,9,2,2,0,2,0,0,0,6,3,0,0,0.222,0.222
Roberto BETTEGA,Italy,7,1,2,0,0,0,0,0,7,0,0,0,0.286,0.0
Roberto BAGGIO,Italy,7,1,2,0,1,0,0,0,4,3,0,0,0.286,0.143
Marco TARDELLI,Italy,18,3,2,0,3,0,0,0,13,5,0,0,0.111,0.167
Hector CASTRO,Uruguay,4,1,2,0,0,0,0,0,2,2,0,0,0.5,0.0
J H AHN,South Korea,7,1,2,0,1,0,0,0,4,3,0,1,0.286,0.143
J HERNANDEZ,Mexico,4,1,2,0,1,0,0,0,1,3,0,0,0.5,0.25
Riccardo CARAPELLESE,Italy,2,1,2,0,0,0,0,2,2,0,0,0,1.0,0.0
BAGGIO D.,Italy,7,1,2,0,1,0,0,0,6,1,0,0,0.286,0.143
